Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
207300960,Creation Lake,Rachel Kushner,"Kushner, Rachel",,"=""1982116528""","=""9781982116521""",4.0,Scribner,Hardcover,416,2024,2024,2024/09/20,2024/08/13,,,read,"_Creation Lake_<br/><br/>#creationlake by #rachelkushner is shortlisted for the booker prize 2024.  The book is from the perspective of a  secret agent ‘Sadie Smith’ sent by private anonymous agents to investigate a commune in  rural French, led by a strange man Bruno Lacombe, who communicates only via email. <br/>Bruno is obsessed with the Neanderthal way of life and strongly believes that homosapien’s modern life resulted in the mess we are in. He advocates for a return to ancient life. Her agents want her to dig out some dirt on the commune to incarcerate them, subsequently provoke them to incite violence and sometimes more. <br/><br/>Although designed as a spy thriller, it is anything but a fast paced thriller. We are introduced to Sadie smith and how Bruno Lacombe’s ideas, sometimes even ridiculous ones seem to influence her. And in this process, we are allowed a glimpse to the true nature of Sadie Smith. The novel is interspersed with the retrospections of her past assignments and Bruno Lacombe’s emails. Complexity of Sadie’s  character is a highlight in the book and so is the philosophical discussion via Bruno’s emails about why Homo sapiens emerged dominant. <br/><br/>The book is mix of spy life and philosophy. Sadie is sarcastic, clever and humorous while Bruno presents a touch of intellectual stimulation. It’s the discussion itself and the character arc of Sadie that forms the crux of the book. <br/><br/>I enjoyed it but I thought the ending fell a little flat. ",,,1,0
68005500,The Centre,Ayesha Manazir Siddiqi,"Siddiqi, Ayesha Manazir",,"=""""","=""""",0,"Zando Projects, Gillian Flynn Books",Hardcover,288,2023,2023,,2024/09/21,to-read,to-read (#44),to-read,,,,0,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",4.0,Pantheon,Hardcover,274,2019,1994,2024/09/04,2024/08/10,,,read,"_The Memory Police_<br/><br/>The memory police is a compelling book published 25 years ago in Japan and recently translated to English in 2019. The book was shortlisted for international booker prize in 2020.<br/><br/>There is a writer in an unnamed island that none are able to depart. Things disappear in the island routinely. Birds, calendar, flowers, books etc, and when they disappear, any memory associated with that object also disappears from the inhabitant’s life. Soon they can no longer remember the object, any memory of it or any sense of what it might have been at all. <br/><br/>There are people in the island, who can remember. They are rounded up by the memory police and taken away. <br/><br/>The book is very subtle, the premise although sounds structured, soon becomes a vague exploration of what it means to not have memories. How it may shape our sense of self. There is no discussion of why, how or when the disappearing happens. Ogawa’s words are calm and flat while they detail unnerving events. <br/><br/>The protagonist’s boss who can still remember, reassures that disappearance doesn’t necessarily mean it stops existing. There is a quite tension between the need to remember and the opportunity to not remember. Thus those who forget don’t have a sense of loss. Because it ceases to exist for them. We are left to wonder if it’s really so bad to not have memories. <br/><br/>Ogawa offers no answers just a lot of questions in your head. Do memories shape communities, our sense of self? If we could collectively forget, what does it mean for us as a community. Is life easier ? The work can be experienced as fable or allegory, warning and illumination. A rare piece of writing. ",,,1,0
55921230,The Disappearing Act: The Impossible Case of MH370,Florence de Changy,"Changy, Florence de",,"=""0008381534""","=""9780008381530""",3.0,Mudlark,Hardcover,432,2021,2021,2023/07/15,2023/07/10,,,read,,,,1,0
57127277,Kaikeyi,Vaishnavi Patel,"Patel, Vaishnavi",,"=""0759557330""","=""9780759557338""",3.0,Redhook,Hardcover,478,2022,2022,2024/08/22,2024/08/22,,,read,,,,1,0
53000876,Contact,Carl Sagan,"Sagan, Carl",,"=""""","=""""",0,Simon & Schuster,Kindle Edition,456,2016,1985,,2024/08/15,to-read,to-read (#43),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",4.0,Tor Books,Hardcover,472,2014,2006,2024/07/16,2024/07/12,,,read,"_The Three Body Problem_<br/><br/>The trilogy is a translated Chinese fiction consisting of  *The Three-Body Problem*, *The Dark Forest*, and *Death’s End*.<br/><br/>The “three-body problem” is an actual physics issue that deals with the chaotic and unpredictable movements of three celestial bodies in space. In the book, the Trisolarans come from a civilization in a three-star system, which creates an extremely unstable environment for them. To survive, they must find another habitable planet.<br/><br/>When Earth's location is broadcast, the Trisolarans begin their journey toward us, but they are still 450 years away. The book deeply explores how human society might react to the knowledge of an impending doomsday centuries away, examining social, technological, and scientific implications.<br/><br/>The philosophical questions raised in *The Three-Body Problem* are especially thought-provoking. How would contact with an alien civilization change humanity? Is coexistence possible? Would the awareness of such a future increase the divide or form a catalyst for a newer just society? And who bears the burden of this new reality—us, or the future generations?<br/><br/>In the second book, the “dark forest theory” is introduced, highlighting the dangers of a civilization broadcasting its location. It is one of many possible explanations of the Fermi paradox. The paradox states that If we assume that the solar system is typical of the billions and billions of similar systems, then where is everyone?<br/><br/>Cixin Liu presents a grim view of life in the universe: with so many planets, life likely exists beyond Earth, but the galaxy is eerily silent. He compares it to a dark forest, where civilizations hide to avoid detection. Revealing your location could invite immediate threats from more advanced civilizations. The Trisolarans are one such threat, but there are likely others.<br/><br/>The final book raises a profound question: are the physical laws of the universe we study are natural, or are they shaped by civilizations?<br/><br/>The trilogy spans centuries, beginning with humanity's awareness of the Trisolarans’ approach, through a truce between the two species, and beyond. It’s rich with scientific detail, which might be daunting for some readers, but as a science enthusiast, I found it incredibly rewarding. While the character development is lacking—possibly due to translation—the depth and detail more than make up for it.<br/><br/>Overall, it’s one of the finest works of science fiction I’ve read.",,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5.0,TOR,Hardcover,604,2016,2010,2024/08/10,2024/08/01,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",4.0,Tor Books,Hardcover,512,2015,2008,2024/08/01,2024/07/12,,,read,,,,1,0
197063361,In Ascension,Martin MacInnes,"MacInnes, Martin",,"=""0802163467""","=""9780802163462""",4.0,Black Cat,Paperback,496,2024,2024,2024/07/05,2024/06/26,,,read,"_In Ascension_<br/><br/>“In order to create itself, life already has to exist. The end instigates a beginning. Cells produce the conditions essential for their own creation. Life is circular, atemporal. Every cell an instance of time travel. “ <br/><br/>Long listed for the 2023 Booker Prize, #inascension is Martin Macinnes ambitious work exploring a  human life. From the deep vents discovered in ocean to the farthest reaches of Solar System, the book is a journey of a Life specifically of Dr Leigh Hasenboch, who trained as a marine microbiologist.<br/><br/>A compassionate, inquisitive epic, it’s a unique blend of exploring the big questions set in the background of  innate human fragility. <br/><br/>I love books that expound science, and this one did it while being a mixed genre. It was intellectually interesting and stimulating. This book may not be for everyone.  There are pages and pages of subtle layering which you may not like if you are into fast paced sci-fiction novellas. This is a soft science-fiction (a very very near future), not dystopian, amply interspersed with psychology and philosophy (If you liked Arrival or Interstellar or Space Odyssey, then you may like this). <br/><br/>The mystery is not solved, rather its existence is revealed. It gives something that you carry with you long after you finish the book. <br/><br/>“Everyone should be acknowledged. Everyone should be missed when they are not right there with you because of what they carry, this very distinct way they have of bearing themselves that is like no one else and that is built by everything they have done and everything they have seen.”<br/>",,,1,0
